gender,attractiveness,likes,matches
FEMALE,0.2550196656666244,46,3
FEMALE,0.23979058489433502,40,3
FEMALE,0.295193398117814,47,6
FEMALE,0.9236325997059447,187,13
FEMALE,0.5499538701319091,93,12
FEMALE,0.04135924227882859,6,0
FEMALE,0.248817136592127,51,5
FEMALE,0.5384153090157646,99,6
FEMALE,0.39767197271256327,50,2
FEMALE,0.015110049014695592,1,0
FEMALE,0.032494491943433346,3,1
FEMALE,0.9614466794637021,196,17
FEMALE,0.34683999571018276,54,7
FEMALE,0.09684310199605572,12,1
FEMALE,0.3785637841686216,69,2
FEMALE,0.649923352495687,120,6
FEMALE,0.5153280794940291,95,8
FEMALE,0.7293855849589954,141,6
FEMALE,0.09158599232080844,11,1
FEMALE,0.7918942595498101,143,11
FEMALE,0.7766188411762256,157,15
FEMALE,0.9358580965774098,184,8
FEMALE,0.6684688606936635,125,5
FEMALE,0.9698612430245279,193,17
FEMALE,0.712325250769758,129,8
FEMALE,0.6869863794279588,132,10
FEMALE,0.7952220725181367,148,8
FEMALE,0.1187729845820632,15,2
FEMALE,0.021077608811155613,4,0
FEMALE,0.831622471341538,163,14
FEMALE,0.9999413142413345,201,15
FEMALE,0.3748246864169561,68,4
FEMALE,0.5043859446218801,79,2
FEMALE,0.26517592031083626,42,5
FEMALE,0.278915579261504,43,3
FEMALE,0.13551523253701814,22,1
FEMALE,0.5238219473831736,102,8
FEMALE,0.6506590996141851,122,9
FEMALE,0.9255257521603139,183,13
FEMALE,0.6840474056546322,127,8
FEMALE,0.3614734457316291,65,2
FEMALE,0.7891291953813905,163,8
FEMALE,0.3201722693965212,48,5
FEMALE,0.5162367053304247,78,8
FEMALE,0.23360999647642156,30,2
FEMALE,0.5681228664703332,108,6
FEMALE,0.5074228675189569,89,4
FEMALE,0.8792526653200095,172,10
FEMALE,0.9830860733960042,196,12
FEMALE,0.9377294964559606,189,11
FEMALE,0.8665254217605987,166,15
FEMALE,0.21243203843044123,41,4
FEMALE,0.9593737855059515,190,14
FEMALE,0.7986322575329168,160,13
FEMALE,0.7622097559819678,139,6
FEMALE,0.13583467598472476,16,1
FEMALE,0.09427742337802791,12,0
FEMALE,0.06665570255118436,7,1
FEMALE,0.20017940270672785,38,4
FEMALE,0.8149110820725027,160,8
FEMALE,0.1339006323842219,19,1
FEMALE,0.1459453921236734,24,1
FEMALE,0.879820358636655,177,18
FEMALE,0.7200403296972495,139,10
FEMALE,0.3047348316980504,52,4
FEMALE,0.26168745664697124,44,3
FEMALE,0.7754772696487419,146,17
FEMALE,0.7756139757288921,144,11
FEMALE,0.074897366626557,9,1
FEMALE,0.9721358970133782,192,12
FEMALE,0.9811405572811256,196,13
FEMALE,0.7141312799200538,141,12
FEMALE,0.6590705016916297,119,9
FEMALE,0.021795507277782677,1,0
FEMALE,0.4144785732622307,79,3
FEMALE,0.6976873352383899,125,9
FEMALE,0.7789904914757908,149,11
FEMALE,0.41505804255898093,74,5
FEMALE,0.3585408806469843,64,5
FEMALE,0.2616712271111208,34,3
FEMALE,0.5130387531740287,95,6
FEMALE,0.4241902144209564,77,6
FEMALE,0.9636375739299599,192,20
FEMALE,0.9212622409822442,186,10
FEMALE,0.03431747478807734,5,0
FEMALE,0.7022389971902873,129,10
FEMALE,0.14555379201594154,18,1
FEMALE,0.4327126772149146,75,2
FEMALE,0.1085101560949886,20,1
FEMALE,0.7278798799425863,134,7
FEMALE,0.9838372952113124,197,16
FEMALE,0.08908599164139341,10,0
FEMALE,0.6152799040643564,117,6
FEMALE,0.02832261385011281,2,1
FEMALE,0.12399679438221745,20,0
FEMALE,0.48029580449868015,75,6
FEMALE,0.08536513049414096,12,0
FEMALE,0.32567830854360835,63,3
FEMALE,0.6019465456693304,119,10
FEMALE,0.35878766443000776,58,2
FEMALE,0.6921802915630065,135,5
FEMALE,0.24527503198103917,41,1
FEMALE,0.8013388843866743,156,12
FEMALE,0.8315743454495775,167,14
FEMALE,0.7748010768112072,160,19
FEMALE,0.2898191780059606,51,4
FEMALE,0.6105001603015734,110,10
FEMALE,0.5745996303171863,101,5
FEMALE,0.11594199041043829,22,1
FEMALE,0.38411011602604617,45,4
FEMALE,0.6403066363482849,131,8
FEMALE,0.4687477672139989,70,4
FEMALE,0.130834555236371,17,2
FEMALE,0.3888534822455151,56,6
FEMALE,0.061289275618577777,12,0
FEMALE,0.9972292345485607,200,9
FEMALE,0.6737421453597235,125,6
FEMALE,0.651456448797389,117,10
FEMALE,0.8874865181806156,171,13
FEMALE,0.09262340179415163,14,2
FEMALE,0.5768558008353043,112,4
FEMALE,0.8623717592955991,169,10
FEMALE,0.7925861777479385,163,11
FEMALE,0.8430296712526123,175,10
FEMALE,0.7743456587805818,148,14
FEMALE,0.44785278424668684,87,4
FEMALE,0.4985988687610724,83,6
FEMALE,0.0940424572238514,9,0
FEMALE,0.03027314756082089,4,0
FEMALE,0.6074590245315518,120,13
FEMALE,0.6389212720479279,112,10
FEMALE,0.36750823169088664,65,3
FEMALE,0.9970542967816195,199,12
FEMALE,0.1253477069258221,24,0
FEMALE,0.5593872943749401,101,8
FEMALE,0.9896016058130668,197,15
FEMALE,0.10863499638264718,21,3
FEMALE,0.8255397627917851,160,14
FEMALE,0.9796344501429698,196,12
FEMALE,0.3215239281235537,55,3
FEMALE,0.2503999627096912,44,3
FEMALE,0.5741859523938803,97,6
FEMALE,0.17598257119608196,24,3
FEMALE,0.6282216205449279,127,8
FEMALE,0.23033852044877,27,4
FEMALE,0.5380844609458677,95,7
FEMALE,0.5764835518311795,103,6
