id,text,klass,humor_rating,humor_mechanism
tweet1,"Niveles de retraso mental: 

— Bajo.
— Medio.
— Alto.
— Elevado.
— Regresar con tu ex.",joke,1.5,
tweet2,"—Vamos Luke desenfunda tu sable, demuestra tu odio, que perteneces al lado oscuro
—Señor súbase los pantalones o llamo a seguridad.
—JAJAJA.",joke,1.5,
tweet3,"- ¿Te ofrezco algo?, ¿Agua, café, mi corazón, mi vida entera?
-Agua está bien
-Pero yo creí que...
- ¡AGUA DIJE!",joke,2.6,
tweet4,No se porqué me hago la cabeza deooos,no-joke,,
tweet5,Quisiera saber que hago durante la siesta de la cual me levanto más cansado que cuando me acosté a dormir.,no-joke,,
tweet6,"La persona que te dice que no se arrepiente de nada en la vida, o no toma alcohol, o no lleva el celular cuando lo hace.",no-joke,,
tweet7,"—Buenas don Pepe, ¿me vende un litro de leche?
—¿Entera?
—No, si quiere tómese un vasito pinche viejo abusivo...",joke,2.5,
tweet8,Meeee aburro,no-joke,,
tweet9,Macri le dijo las gordas que usar calzas está bien.,no-joke,,
tweet10,JAVIER CHICALITO HERNANDEZ *7,no-joke,,
tweet11,"Conducir a Cerro Navia, compartir información de la carretera en tiempo real con wazers en mi zona. ETA 11:20 PM usando @waze - Conducció...",no-joke,,
tweet12,#LosNiñosBonitos le ponen pausa al videojuego para escuchar lo que dicen #LasNiñasBonitas.,no-joke,,
tweet13,#20CosasQueHacerAntesDeMorir: Enseñarles la diferencia entre: -Hay de haber -Ahí de lugar -Ay de exclamar - Ai se eu te pego.,joke,2.6,reference
tweet14,Leí que la falta de sexo trae consigo una notable mejora en el léxico. Me quedo absorto ante tal afirmación carente de raciocinio.,joke,3.25,
tweet15,"y ahora un poco mas breve:
Sevillista que VENDA UNA acción, una:
Traidor.",no-joke,,
tweet16,Ya apronté él bolso,no-joke,,
tweet17,Esas canciones del celular que nunca escuchamos pero no las borramos ''por si acaso'',no-joke,,
tweet18,"""Se te ven buenas chichis en tu foto de Whatsapp""

*enviar a todas*",no-joke,,
tweet19,Ni Jesús te ama.,no-joke,,
tweet20,"Ah no, bien.",no-joke,,
tweet21,Te quiero pero #YoTan Twitter y tú tan Facebook.,joke,1.6667,analogy
tweet22,"-El alcohol es un veneno. –Si es un veneno, ¿Por qué lo tomas? -Porque hay cosas dentro de mi que necesito matar. -Charlie Sheen",joke,2.3333,reference
tweet23,"Cambié mi contraseña de Twitter por ''incorrecta'', si se me olvida, twitter me la recordará: Su contraseña es ''incorrecta''. Soy una genio",joke,2.7777777777777777,irony
tweet24,estoy mas en twitter que en clase (en clase),joke,2.0,
tweet25,"— Di algo bonito.
— Tú.
— Aún más bonito.
— Nosotros.",no-joke,,
tweet26,Un piano me caería excelente en estos momentos.,joke,2.5,
tweet27,saludos a todos,no-joke,,
tweet28,"— ¿Cómo va la dieta? 

— Me la comí.",joke,2.8666666666666667,
tweet29,WhatsApp cayó varias veces en 2015 y vos todavía no caes que nadie te soporta.,joke,2.3333,insults
tweet30,Lo malo de ser latina es que tenemos que vivir sabiendo que probablemente nunca abrazaremos a nuestros idolos,no-joke,,
tweet31,"- Hijo ¿compraste una iPad?

- No ¿Por qué? 

- Entonces ¿Por qué traes esa ""Tableta sin Teclas"" Jajajá!

- Ya Mamá, deja a mi novia en paz!",joke,1.0,
tweet32,"Los hombres solo le vemos las nalgas a otras mujeres solo para decir: ""Ah, están más bonitas las de mi novia"". Y ustedes haciendo un drama.",joke,2.5,irony
tweet33,"Soy virgen, lo juro por mis dos hijos!",joke,1.6666666666999999,absurd
tweet34,"—Bienvenido a los X-Men, ¿cuál es tu poder? 
—Creo regresaré con mi Ex
—Muy bien, te llamaremos «Bestia».",joke,2.0,parody
tweet35,Tomar champaña después de lavarse los dientes. Mas rico,no-joke,,
tweet36,"Soy La La Land en el amor.

#Oscars",no-joke,,
tweet37,"No se si estoy cruda, peda, viva, arriba, abajo, cintura sola, la media vuelta, despacito, quiero respirar tu cuello deeeees pa ci to.",no-joke,,
tweet38,Me acelera el corazón cada vez que siento adrenalina #ConChecoEnInfinitum,no-joke,,
tweet39,"Otra vez me estaba sintiendo lindo y pum, nuevamente todo al piso xdxd",no-joke,,
tweet40,"–¿Tiene pastillas para la diarrea? –No. –Ok, deme un rollo de papel higiénico :(",joke,2.6,embarrassment
tweet41,Vengo de ver Fifty Shades Freed y tengo senimienos encontrados.,no-joke,,
tweet42,"Que te pongan una vacuna y gritar: ""La base de datos de virus ha sido actualizada""",joke,2.090909090909091,
tweet43,"Te pienso en 3D. —""D""espierto —""D""ormido —""D""onde sea.",no-joke,,
tweet44,"+quiero un 00:00?
- y yo quiero que te vallas ala concha de tu madre.",joke,1.0,
tweet45,"—Hola linda, ¿Por qué tan sola? —Es que me vine a tirar un pedo.",joke,1.8888888888888888,unmasking
tweet46,Lo bueno que tras la muerte de Fidel su rostro será inmortalizado en mercancía capitalista tal como sucedió con el Che.,no-joke,,
tweet47,Madurar es dejar de creer que el profesor Jirafales sólo entraba a tomar una tacita de café #XD,joke,2.0,reference
tweet48,Estaba re emocionada 😂😂😂,no-joke,,
tweet49,Necesito bajar 20 kilos o 10 pa ser normal auqnue sea,no-joke,,
tweet50,"Mirarle y pensar 'Ese era mi amigo, como pudo cambiar tanto...""",no-joke,,
tweet51,"""Despedí a Carmen Aristegui por presión de los Pinos"" Atte: Joaquín Vargas.

#NOOOOOMEEEEEDIIIGAAAASSSSSSS!!!",no-joke,,
tweet52,"#TeRecuerdoQue el mañana es lo único que no tenemos seguro, así que disfruta el hoy como si fuera el último día.",no-joke,,
tweet53,¿Que por qué no tengo tatuajes? ¿Acaso le pondrías una calcomanía a un Lamborghini?,joke,1.5,
tweet54,"Sí mira amiga, nos vale verga que sepas andar en patineta, ya sabemos la pobreza que compartes con tu novio el mariguanero piojoso ese.",no-joke,,
tweet55,ahora tengo q subir de 16 grupos más pero ya me puse la pijama,no-joke,,
tweet56,"—¿Y Thomas? —No, yo no tomo. —No, ¿Que si Thomas vino? —No me gusta el vino. —¡No! ¡¿Que si llegó Thomas?! —No, no tomaré ni aunque llegues.",joke,2.0,misunderstanding
tweet57,"Extraño a Ancelotti, con su ceja arqueada y masticando chicle, poniendo de titular a mi bebé James.",no-joke,,
tweet58,"¿En que se parecen un ginecólogo y un camarero?
En que los dos trabajan donde los demas se divierten.
#Chistes #H...",joke,3.0,
tweet59,"""Oye we ¿entonces a qué berga vienes a la escuela?""

—Yo, cuando alguien no tiene los apuntes que necesito.",joke,1.3333,
tweet60,Todo es más emocionante cuando sé que te voy a ver.,no-joke,,
tweet61,"Despiértense porquerías, si yo no voy a descansar en domingo... ustedes menos. 📢📢📢ARRIBA!",no-joke,,
tweet62,"Llamar a tu ex llorando 

COSAS DE BORRACHOS",no-joke,,
tweet63,Ya me empecé a sentir mal MILAGROS POR FAVOR,no-joke,,
tweet64,4 etapas de la vida: 1- Creer en Santa Claus. 2- No creer en Santa Claus. 3- Ser Santa Claus. 4- Parecerse a Santa Claus,joke,2.6,analogy
tweet65,"—Buenas tardes, vengo a que me haga un tatuaje.
—¿De qué?
—De tres tristes tigres tragando trigo.
—¿Dónde?
—En un trigal.",joke,3.8,misunderstanding
tweet66,"A mi no me mandes mensajitos de ""te extraño, a mi mándame ""sal, que estoy aquí"".",no-joke,,
tweet67,.@KikoDeDiego @UDLasZocas feliz cumpleaños Míster!,no-joke,,
tweet68,"—Mamá, me corté el dedo.
—Chúpatelo, hijo.
—No lo encuentro. 😭",joke,2.6,misunderstanding
tweet69,La realidad es dura pero se tiene que afrontar.,no-joke,,
tweet70,Enamorado yo?... JAJAJJAJAJA que me haya comprado un blackberry porque me pidio mi pin no tiene nada que ver.,joke,1.75,irony
tweet71,-¡Policía! Dos chicas se están peleando por mí -¿Y cuál es el problema? -Es que va ganando la gorda!,joke,2.583333333333333,misunderstanding
